,date,price
0,2006-q1,1027.6265
1,2006-q2,1301.4855
2,2006-q3,1339.4495
3,2006-q4,1564.714
4,2007-q1,2510.594
5,2007-q2,3709.9815
6,2007-q3,4757.528
7,2007-q4,5136.781
8,2008-q1,4748.3845
9,2008-q2,3606.435
10,2008-q3,2449.463
11,2008-q4,1883.0035
12,2009-q1,2241.198
13,2009-q2,2774.062
14,2009-q3,3291.8905
15,2009-q4,3482.462
16,2010-q1,3281.859
17,2010-q2,2836.334
18,2010-q3,2864.8785
19,2010-q4,3216.515
20,2011-q1,3199.147
21,2011-q2,3112.1485
22,2011-q3,2875.2545
23,2011-q4,2584.574
24,2012-q1,2537.772
25,2012-q2,2579.9395
26,2012-q3,2331.872
27,2012-q4,2269.818
28,2013-q1,2598.588
29,2013-q2,2493.2625
30,2013-q3,2310.016
31,2013-q4,2400.514
32,2014-q1,2198.0645
33,2014-q2,2157.0445
34,2014-q3,2351.2835
35,2014-q4,2579.094
36,2015-q1,3542.2365
37,2015-q2,4741.3765
38,2015-q3,3813.2525
39,2015-q4,3686.5235
40,2016-q1,3098.20165
41,2016-q2,3152.11145
42,2016-q3,3260.38395
43,2016-q4,3360.6285